region,class_code,class,area_ha,pct,indicator,year
Beni Mellal-Khenifra,2,Moderate,713563.5079874519,24.686476740824773,SO3-1 2023,2023
Beni Mellal-Khenifra,3,Severe,300835.94810901955,10.407734634221061,SO3-1 2023,2023
Beni Mellal-Khenifra,4,Extreme,1690118.19000156,58.47140852871652,SO3-1 2023,2023
Casablanca-Settat,2,Moderate,18103.855199999998,0.9091228920567976,SO3-1 2023,2023
Casablanca-Settat,3,Severe,52729.841448627456,2.6479390950648236,SO3-1 2023,2023
Casablanca-Settat,4,Extreme,1920520.3170031325,96.44293801287837,SO3-1 2023,2023
Dakhla-Oued Eddahab,0,No drought,6218365.837570994,48.77741871301997,SO3-1 2023,2023
Dakhla-Oued Eddahab,1,Mild,4635178.950791384,36.35875894057136,SO3-1 2023,2023
Dakhla-Oued Eddahab,2,Moderate,1135135.194201567,8.904102156376696,SO3-1 2023,2023
Dakhla-Oued Eddahab,3,Severe,307830.2019694118,2.4146476817518185,SO3-1 2023,2023
Dakhla-Oued Eddahab,4,Extreme,451941.8689803924,3.5450725082801524,SO3-1 2023,2023
Daraa-Tafilelt,0,No drought,53866.553931764705,0.6640757909243745,SO3-1 2023,2023
Daraa-Tafilelt,1,Mild,2277049.64149647,28.071844795683838,SO3-1 2023,2023
Daraa-Tafilelt,2,Moderate,3166141.516983526,39.03271656718086,SO3-1 2023,2023
Daraa-Tafilelt,3,Severe,1064516.3274980392,13.123533445830953,SO3-1 2023,2023
Daraa-Tafilelt,4,Extreme,1549932.9097388238,19.107829400379963,SO3-1 2023,2023
Fes-Meknes,1,Mild,830217.5732603936,21.54891521696742,SO3-1 2023,2023
Fes-Meknes,2,Moderate,757288.8000039218,19.655994611096016,SO3-1 2023,2023
Fes-Meknes,3,Severe,336304.62818509806,8.729037005774682,SO3-1 2023,2023
Fes-Meknes,4,Extreme,1928900.6775435407,50.066053166161886,SO3-1 2023,2023
Guelmim-Oued Noun,0,No drought,422249.55804941186,8.552184606806783,SO3-1 2023,2023
Guelmim-Oued Noun,1,Mild,4010074.9917396074,81.21950861221056,SO3-1 2023,2023
Guelmim-Oued Noun,2,Moderate,480320.79881098046,9.728351548540187,SO3-1 2023,2023
Guelmim-Oued Noun,3,Severe,19015.2212,0.3851316808782449,SO3-1 2023,2023
Guelmim-Oued Noun,4,Extreme,5669.217414117647,0.11482355156422511,SO3-1 2023,2023
Laayoune-Saguia Hamra,0,No drought,7632186.217748173,55.58016324509786,SO3-1 2023,2023
Laayoune-Saguia Hamra,1,Mild,5184742.678777257,37.75705102689283,SO3-1 2023,2023
Laayoune-Saguia Hamra,2,Moderate,785451.2146556849,5.719921590763235,SO3-1 2023,2023
Laayoune-Saguia Hamra,3,Severe,102383.31145411763,0.745589926902032,SO3-1 2023,2023
Laayoune-Saguia Hamra,4,Extreme,27089.40422980392,0.19727421034404136,SO3-1 2023,2023
Marrakech-Safi,1,Mild,151375.98749411764,3.784697362317544,SO3-1 2023,2023
Marrakech-Safi,2,Moderate,898384.8173874499,22.461387073326513,SO3-1 2023,2023
Marrakech-Safi,3,Severe,809967.0512752936,20.250769050440347,SO3-1 2023,2023
Marrakech-Safi,4,Extreme,2139957.534841567,53.503146513915596,SO3-1 2023,2023
Oriental,1,Mild,474624.45015372534,7.0925926764697,SO3-1 2023,2023
Oriental,2,Moderate,1196547.8960494115,17.880719886673692,SO3-1 2023,2023
Oriental,3,Severe,1230901.6985239205,18.394088988835772,SO3-1 2023,2023
Oriental,4,Extreme,3789758.854803938,56.63259844802083,SO3-1 2023,2023
Rabat-Sale-Kenitra,2,Moderate,55051.88627215687,3.3010006798412355,SO3-1 2023,2023
Rabat-Sale-Kenitra,3,Severe,105399.54677176471,6.319928327769579,SO3-1 2023,2023
Rabat-Sale-Kenitra,4,Extreme,1507281.8276109851,90.37907099238917,SO3-1 2023,2023
Souss Massa,1,Mild,2336622.8593913764,44.81759823378982,SO3-1 2023,2023
Souss Massa,2,Moderate,2690915.7951466762,51.61311441558685,SO3-1 2023,2023
Souss Massa,3,Severe,131435.70080784315,2.521002655052712,SO3-1 2023,2023
Souss Massa,4,Extreme,54653.6646172549,1.048284695570613,SO3-1 2023,2023
Tanger-Tetouan-Hoceima,1,Mild,23566.870338039214,1.5128756785306543,SO3-1 2023,2023
Tanger-Tetouan-Hoceima,2,Moderate,357509.47996470536,22.950327698359352,SO3-1 2023,2023
Tanger-Tetouan-Hoceima,3,Severe,306392.5535701962,19.668875660212795,SO3-1 2023,2023
Tanger-Tetouan-Hoceima,4,Extreme,870284.3651152948,55.86792096289719,SO3-1 2023,2023
Beni Mellal-Khenifra,1,Mild,696103.712097256,24.08243681961497,SO3-1 2024,2024
Beni Mellal-Khenifra,2,Moderate,876892.9858039232,30.33703105039044,SO3-1 2024,2024
Beni Mellal-Khenifra,3,Severe,494026.36490431335,17.091359395552164,SO3-1 2024,2024
