region,class_code,class,area_ha,pct,indicator
Oriental,-1,Degraded,4691773.837443817,70.43150169089816,SDG 15.3.1
Oriental,0,Stable,1963259.9229259556,29.47186914204874,SDG 15.3.1
Oriental,1,Improved,6436.923635441177,0.09662916705310744,SDG 15.3.1
Rabat-Sale-Kenitra,-1,Degraded,1150941.0881798782,69.25919145816802,SDG 15.3.1
Rabat-Sale-Kenitra,0,Stable,493874.6419101206,29.71946933833101,SDG 15.3.1
Rabat-Sale-Kenitra,1,Improved,16972.494618106608,1.021339203500966,SDG 15.3.1
Souss Massa,-1,Degraded,3424618.7546041864,65.69371956442104,SDG 15.3.1
Souss Massa,0,Stable,1779051.9708817485,34.127168493867615,SDG 15.3.1
Souss Massa,1,Improved,9337.119572849266,0.1791119417113399,SDG 15.3.1
Tanger-Tetouan-Hoceima,-1,Degraded,498345.14843212446,32.86860784697379,SDG 15.3.1
Tanger-Tetouan-Hoceima,0,Stable,980352.4593909696,64.65964530991494,SDG 15.3.1
Tanger-Tetouan-Hoceima,1,Improved,37475.97261045338,2.4717468431112737,SDG 15.3.1
Beni Mellal-Khenifra,-1,Degraded,583697.7637069068,20.202231271062963,SDG 15.3.1 baseline
Beni Mellal-Khenifra,0,Stable,2250213.952868784,77.88164613913875,SDG 15.3.1 baseline
Beni Mellal-Khenifra,1,Improved,55362.02687945464,1.9161225897982872,SDG 15.3.1 baseline
Casablanca-Settat,-1,Degraded,411626.64901140804,20.687895477859747,SDG 15.3.1 baseline
Casablanca-Settat,0,Stable,1564105.9015639364,78.61021507128301,SDG 15.3.1 baseline
Casablanca-Settat,1,Improved,13965.480584626212,0.701889450857249,SDG 15.3.1 baseline
Dakhla-Oued Eddahab,-1,Degraded,2320368.5515767843,18.251742566606804,SDG 15.3.1 baseline
Dakhla-Oued Eddahab,0,Stable,10392400.351491718,81.74538296325645,SDG 15.3.1 baseline
Dakhla-Oued Eddahab,1,Improved,365.43525,0.0028744701367509834,SDG 15.3.1 baseline
Daraa-Tafilelt,-1,Degraded,207237.24611842542,2.5554875235854957,SDG 15.3.1 baseline
Daraa-Tafilelt,0,Stable,6959116.235593363,85.81437482081525,SDG 15.3.1 baseline
Daraa-Tafilelt,1,Improved,943145.9467048956,11.630137655599263,SDG 15.3.1 baseline
Fes-Meknes,-1,Degraded,787429.2498897864,20.51268377411463,SDG 15.3.1 baseline
Fes-Meknes,0,Stable,2912738.445388239,75.87739807140505,SDG 15.3.1 baseline
Fes-Meknes,1,Improved,138575.4870424631,3.6099181544803254,SDG 15.3.1 baseline
Guelmim-Oued Noun,-1,Degraded,447063.62149535713,9.055347736812847,SDG 15.3.1 baseline
Guelmim-Oued Noun,0,Stable,4241650.859304157,85.91534104402422,SDG 15.3.1 baseline
Guelmim-Oued Noun,1,Improved,248297.70789758448,5.0293112191629294,SDG 15.3.1 baseline
