region,class_code,class,area_ha,pct,indicator,year
Daraa-Tafilelt,-1,Degraded,474955.34710257367,5.855786305967891,SDG 15.3.1 2019,2019
Daraa-Tafilelt,0,Stable,6799350.209729067,83.83007390168959,SDG 15.3.1 2019,2019
Daraa-Tafilelt,1,Improved,836566.7032869636,10.314139792342514,SDG 15.3.1 2019,2019
Fes-Meknes,-1,Degraded,847088.4703786653,22.03973286769969,SDG 15.3.1 2019,2019
Fes-Meknes,0,Stable,2858863.6905215047,74.38254001508716,SDG 15.3.1 2019,2019
Fes-Meknes,1,Improved,137508.53557730414,3.5777271172131537,SDG 15.3.1 2019,2019
Guelmim-Oued Noun,-1,Degraded,904357.5120094818,18.31725408614576,SDG 15.3.1 2019,2019
Guelmim-Oued Noun,0,Stable,3896521.0383600765,78.9218477912148,SDG 15.3.1 2019,2019
Guelmim-Oued Noun,1,Improved,136310.76717936268,2.7608981226394307,SDG 15.3.1 2019,2019
Laayoune-Saguia Hamra,-1,Degraded,1065423.9156811936,7.767434269866564,SDG 15.3.1 2019,2019
Laayoune-Saguia Hamra,0,Stable,12544581.087892838,91.45581172816053,SDG 15.3.1 2019,2019
Laayoune-Saguia Hamra,1,Improved,106543.84209127443,0.7767540019729113,SDG 15.3.1 2019,2019
Marrakech-Safi,-1,Degraded,1022459.786204913,25.58521301362687,SDG 15.3.1 2019,2019
Marrakech-Safi,0,Stable,2835912.675936178,70.96360256004272,SDG 15.3.1 2019,2019
Marrakech-Safi,1,Improved,137919.40246188722,3.451184426330412,SDG 15.3.1 2019,2019
Oriental,-1,Degraded,1637862.4626976373,24.56211891137912,SDG 15.3.1 2019,2019
Oriental,0,Stable,4486317.69135735,67.27882903418471,SDG 15.3.1 2019,2019
Oriental,1,Improved,544065.6459392871,8.15905205443618,SDG 15.3.1 2019,2019
Rabat-Sale-Kenitra,-1,Degraded,276012.8719012731,16.59889888702792,SDG 15.3.1 2019,2019
Rabat-Sale-Kenitra,0,Stable,1360488.098193101,81.81721462247515,SDG 15.3.1 2019,2019
Rabat-Sale-Kenitra,1,Improved,26337.47346634802,1.5838864904969499,SDG 15.3.1 2019,2019
Souss Massa,-1,Degraded,893987.3185111267,17.149184227711938,SDG 15.3.1 2019,2019
Souss Massa,0,Stable,4099835.0620216276,78.6463357208871,SDG 15.3.1 2019,2019
Souss Massa,1,Improved,219179.62959495088,4.204480051400969,SDG 15.3.1 2019,2019
Tanger-Tetouan-Hoceima,-1,Degraded,475428.87058769393,31.199633053647283,SDG 15.3.1 2019,2019
Tanger-Tetouan-Hoceima,0,Stable,979705.5506735228,64.29238014900339,SDG 15.3.1 2019,2019
Tanger-Tetouan-Hoceima,1,Improved,68693.98329149517,4.507986797349329,SDG 15.3.1 2019,2019
Beni Mellal-Khenifra,-1,Degraded,533301.2261951163,18.455574312614882,SDG 15.3.1 2020,2020
Beni Mellal-Khenifra,0,Stable,2299658.3376998473,79.58263221678038,SDG 15.3.1 2020,2020
Beni Mellal-Khenifra,1,Improved,56688.93558624995,1.961793470604728,SDG 15.3.1 2020,2020
Casablanca-Settat,-1,Degraded,793111.4258254935,39.88522200420421,SDG 15.3.1 2020,2020
Casablanca-Settat,0,Stable,1193258.1203191977,60.00842187806594,SDG 15.3.1 2020,2020
Casablanca-Settat,1,Improved,2114.8748318137255,0.10635611772986146,SDG 15.3.1 2020,2020
Dakhla-Oued Eddahab,-1,Degraded,2355856.0420388095,18.524804395879965,SDG 15.3.1 2020,2020
Dakhla-Oued Eddahab,0,Stable,10360359.816663884,81.46662429701703,SDG 15.3.1 2020,2020
Dakhla-Oued Eddahab,1,Improved,1090.0393437499997,0.008571307103003986,SDG 15.3.1 2020,2020
Daraa-Tafilelt,-1,Degraded,700067.3944818384,8.631222044071514,SDG 15.3.1 2020,2020
Daraa-Tafilelt,0,Stable,6661033.079625219,82.12474399797556,SDG 15.3.1 2020,2020
Daraa-Tafilelt,1,Improved,749771.7860115478,9.244033957952924,SDG 15.3.1 2020,2020
Fes-Meknes,-1,Degraded,856239.7521936413,22.27735096690195,SDG 15.3.1 2020,2020
Fes-Meknes,0,Stable,2858912.449383931,74.38219944285845,SDG 15.3.1 2020,2020
Fes-Meknes,1,Improved,128391.64466240208,3.3404495902395865,SDG 15.3.1 2020,2020
Guelmim-Oued Noun,-1,Degraded,1551926.6230359857,31.433403161587492,SDG 15.3.1 2020,2020
Guelmim-Oued Noun,0,Stable,3287198.874133583,66.58036916772545,SDG 15.3.1 2020,2020
Guelmim-Oued Noun,1,Improved,98063.82037936249,1.9862276706870596,SDG 15.3.1 2020,2020
Laayoune-Saguia Hamra,-1,Degraded,1607168.4080970034,11.71684822900477,SDG 15.3.1 2020,2020
Laayoune-Saguia Hamra,0,Stable,11994730.405448578,87.44599196973967,SDG 15.3.1 2020,2020
Laayoune-Saguia Hamra,1,Improved,114830.94760723002,0.8371598012555665,SDG 15.3.1 2020,2020
Marrakech-Safi,-1,Degraded,1901828.5577092837,47.58901871125557,SDG 15.3.1 2020,2020
Marrakech-Safi,0,Stable,1984883.8814600408,49.66729298052247,SDG 15.3.1 2020,2020
Marrakech-Safi,1,Improved,109647.66493063726,2.743688308221951,SDG 15.3.1 2020,2020
Oriental,-1,Degraded,1869745.40385509,28.039538958481604,SDG 15.3.1 2020,2020
Oriental,0,Stable,4335571.458546372,65.01817015757386,SDG 15.3.1 2020,2020
Oriental,1,Improved,462929.0264615422,6.942290883944528,SDG 15.3.1 2020,2020
Rabat-Sale-Kenitra,-1,Degraded,277777.78551850363,16.703837027593305,SDG 15.3.1 2020,2020
Rabat-Sale-Kenitra,0,Stable,1358869.5267938112,81.71400414528344,SDG 15.3.1 2020,2020
Rabat-Sale-Kenitra,1,Improved,26310.63597009802,1.582158827123258,SDG 15.3.1 2020,2020
Souss Massa,-1,Degraded,2368861.8406540276,45.44072419564722,SDG 15.3.1 2020,2020
Souss Massa,0,Stable,2707318.934256901,51.93318195680659,SDG 15.3.1 2020,2020
Souss Massa,1,Improved,136900.40410985315,2.62609384754619,SDG 15.3.1 2020,2020
Tanger-Tetouan-Hoceima,-1,Degraded,417492.271408356,27.394563384267016,SDG 15.3.1 2020,2020
Tanger-Tetouan-Hoceima,0,Stable,1033539.3755570266,67.8176863929032,SDG 15.3.1 2020,2020
Tanger-Tetouan-Hoceima,1,Improved,72965.16054762261,4.787750222829778,SDG 15.3.1 2020,2020
Beni Mellal-Khenifra,-1,Degraded,836355.4939846522,28.943156724245558,SDG 15.3.1 2021,2021
Beni Mellal-Khenifra,0,Stable,1996956.5458548265,69.1072476882001,SDG 15.3.1 2021,2021
Beni Mellal-Khenifra,1,Improved,56336.45964171565,1.9495955875543434,SDG 15.3.1 2021,2021
Casablanca-Settat,-1,Degraded,1293165.8126742106,65.03472586965167,SDG 15.3.1 2021,2021
Casablanca-Settat,0,Stable,693256.8200667624,34.86464520514421,SDG 15.3.1 2021,2021
Casablanca-Settat,1,Improved,2000.9292589460783,0.10062892520412409,SDG 15.3.1 2021,2021
Dakhla-Oued Eddahab,-1,Degraded,2124847.2652745093,16.708129476697895,SDG 15.3.1 2021,2021
Dakhla-Oued Eddahab,0,Stable,10592235.13219332,83.28901513467163,SDG 15.3.1 2021,2021
Dakhla-Oued Eddahab,1,Improved,363.13249375,0.002855388630479922,SDG 15.3.1 2021,2021
Daraa-Tafilelt,-1,Degraded,1024317.9931551204,12.628949887322513,SDG 15.3.1 2021,2021
Daraa-Tafilelt,0,Stable,6460369.710553866,79.6507391975546,SDG 15.3.1 2021,2021
Daraa-Tafilelt,1,Improved,626184.5564096101,7.720310915122883,SDG 15.3.1 2021,2021
Fes-Meknes,-1,Degraded,1153513.14104747,30.012352350295743,SDG 15.3.1 2021,2021
Fes-Meknes,0,Stable,2577948.1031453256,67.0736067576278,SDG 15.3.1 2021,2021
Fes-Meknes,1,Improved,112000.0332971814,2.9140408920764385,SDG 15.3.1 2021,2021
Guelmim-Oued Noun,-1,Degraded,1779309.4112671076,36.03891398173987,SDG 15.3.1 2021,2021
Guelmim-Oued Noun,0,Stable,3062803.581589958,62.03536839682076,SDG 15.3.1 2021,2021
Guelmim-Oued Noun,1,Improved,95076.32469186257,1.925717621439384,SDG 15.3.1 2021,2021
Laayoune-Saguia Hamra,-1,Degraded,1916965.833924165,13.975476571186752,SDG 15.3.1 2021,2021
Laayoune-Saguia Hamra,0,Stable,11695996.888783948,85.2686717745328,SDG 15.3.1 2021,2021
Laayoune-Saguia Hamra,1,Improved,103677.45166973029,0.7558516542804394,SDG 15.3.1 2021,2021
Marrakech-Safi,-1,Degraded,2542852.847674592,63.627885164247154,SDG 15.3.1 2021,2021
Marrakech-Safi,0,Stable,1369786.4130137973,34.27513026028682,SDG 15.3.1 2021,2021
Marrakech-Safi,1,Improved,83804.81585218142,2.096984575466026,SDG 15.3.1 2021,2021
Oriental,-1,Degraded,2886192.303562918,43.28208087881575,SDG 15.3.1 2021,2021
Oriental,0,Stable,3487513.4847580795,52.299647714714084,SDG 15.3.1 2021,2021
Oriental,1,Improved,294624.95031396917,4.4182714064701605,SDG 15.3.1 2021,2021
Rabat-Sale-Kenitra,-1,Degraded,420423.22259877244,25.27962152863316,SDG 15.3.1 2021,2021
Rabat-Sale-Kenitra,0,Stable,1221245.517536695,73.43225306640691,SDG 15.3.1 2021,2021
Rabat-Sale-Kenitra,1,Improved,21422.703391789197,1.2881254049599165,SDG 15.3.1 2021,2021
Souss Massa,-1,Degraded,3003367.5748302387,57.61213899597008,SDG 15.3.1 2021,2021
Souss Massa,0,Stable,2131159.9981927034,40.88100539790551,SDG 15.3.1 2021,2021
Souss Massa,1,Improved,78553.60599789213,1.5068556061244138,SDG 15.3.1 2021,2021
Tanger-Tetouan-Hoceima,-1,Degraded,403858.59499757155,26.496502388244448,SDG 15.3.1 2021,2021
Tanger-Tetouan-Hoceima,0,Stable,1054736.9962037876,69.199570555262,SDG 15.3.1 2021,2021
Tanger-Tetouan-Hoceima,1,Improved,65600.2784268873,4.303927056493553,SDG 15.3.1 2021,2021
Beni Mellal-Khenifra,-1,Degraded,1481140.0700898299,51.2567556350106,SDG 15.3.1 2022,2022
Beni Mellal-Khenifra,0,Stable,1362755.1345720086,47.159892797226846,SDG 15.3.1 2022,2022
Beni Mellal-Khenifra,1,Improved,45753.29481936271,1.5833515677625538,SDG 15.3.1 2022,2022
Casablanca-Settat,-1,Degraded,1598774.5607402413,80.4041084876471,SDG 15.3.1 2022,2022
Casablanca-Settat,0,Stable,388305.1587766674,19.528288027135325,SDG 15.3.1 2022,2022
Casablanca-Settat,1,Improved,1344.2439001715684,0.06760348521758423,SDG 15.3.1 2022,2022
