region,class_code,class,area_ha,pct,indicator
Guelmim-Oued Noun,-1,Degraded,419033.77687823545,8.391714918947024,SDG 15.3.1 baseline
Guelmim-Oued Noun,0,Stable,4336457.039195814,86.8433840877863,SDG 15.3.1 baseline
Guelmim-Oued Noun,1,Improved,237931.63601772094,4.764900993266655,SDG 15.3.1 baseline
Laayoune-Saguia Hamra,-1,Degraded,1254151.6107180296,9.063163670182384,SDG 15.3.1 baseline
Laayoune-Saguia Hamra,0,Stable,12489576.307458118,90.25629220451134,SDG 15.3.1 baseline
Laayoune-Saguia Hamra,1,Improved,94173.02191348039,0.6805441253062651,SDG 15.3.1 baseline
Marrakech-Safi,-1,Degraded,1080143.6727537343,26.771796148176133,SDG 15.3.1 baseline
Marrakech-Safi,0,Stable,2812123.8774839565,69.6996233838827,SDG 15.3.1 baseline
Marrakech-Safi,1,Improved,142365.26548887248,3.5285804679411723,SDG 15.3.1 baseline
Oriental,-1,Degraded,954312.0703446311,14.308246929150798,SDG 15.3.1 baseline
Oriental,0,Stable,5082269.832569858,76.19978200498144,SDG 15.3.1 baseline
Oriental,1,Improved,633082.6274087242,9.491971065867759,SDG 15.3.1 baseline
Rabat-Sale-Kenitra,-1,Degraded,329255.49718862673,19.673007384000567,SDG 15.3.1 baseline
Rabat-Sale-Kenitra,0,Stable,1313422.9611620458,78.47698773106274,SDG 15.3.1 baseline
Rabat-Sale-Kenitra,1,Improved,30962.438345171555,1.8500048849367028,SDG 15.3.1 baseline
Souss Massa,-1,Degraded,307747.2934396571,5.872013463304993,SDG 15.3.1 baseline
Souss Massa,0,Stable,4626045.142918831,88.26787412966277,SDG 15.3.1 baseline
Souss Massa,1,Improved,307123.5690766413,5.860112407032217,SDG 15.3.1 baseline
Tanger-Tetouan-Hoceima,-1,Degraded,346673.6751082087,22.733614989669512,SDG 15.3.1 baseline
Tanger-Tetouan-Hoceima,0,Stable,1109322.5189177883,72.74538811340574,SDG 15.3.1 baseline
Tanger-Tetouan-Hoceima,1,Improved,68942.4277714706,4.5209968969247525,SDG 15.3.1 baseline
